runs,cost
1294,1.4142135
1295,1.4141858
1296,1.4142135
1297,1.0368136e-11
1298,8.88778e-12
1299,1.4141899
1300,1.4141861
1301,1.4142109
1302,1.4130976
1303,1.4140645
1304,1.4142046
1305,1.4141551
1306,0.0001357632
1307,5.2396373e-8
1308,1.0640642e-10
1309,1.4141072
1310,1.4134878
1311,1.152213e-12
1312,1.4137894
1313,1.4008014
1314,1.4141263
1315,1.4141715
1316,1.4142135
1317,1.4141657
1318,1.1516946e-12
1319,1.4142135
1320,1.4141716
1321,1.4141942
1322,1.4141967
1323,1.4142135
1324,1.4141948
1325,4.0857384e-10
1326,1.4141445
1327,1.4142064
1328,1.4138116
1329,1.3792523
1330,1.4128081
1331,1.413767
1332,1.4142097
1333,2.2392526e-7
1334,1.4141876
1335,1.4070292
1336,1.4141519
1337,1.4141978
1338,1.4142135
1339,1.414213
1340,1.4117374
1341,1.4141982
1342,1.4142085
1343,1.4141247
1344,1.4142135
1345,1.4142121
1346,1.4140984
1347,1.4141881
1348,1.411692
1349,1.411562
1350,1.4142123
1351,1.4142056
1352,1.414197
1353,1.414212
1354,1.4141393
1355,1.4142003
1356,1.4141924
1357,1.4142135
1358,1.4126611
1359,1.407822
1360,1.4142135
1361,1.4141887
1362,1.4141833
1363,1.4139401
1364,1.4141836
1365,1.4125998
1366,1.4142135
1367,1.4142135
1368,3.8723087e-12
1369,1.4142135
1370,1.4142071
1371,1.9259079e-9
1372,1.3028794e-17
1373,1.4140428
1374,1.4142088
1375,1.4142091
1376,1.4141833
1377,1.4128705
1378,1.4141862
1379,1.4104165
1380,1.394306
1381,1.4132285
1382,1.4142135
1383,5.118503e-13
1384,1.0911186e-16
1385,1.4141704
1386,1.4090087
1387,3.8572695e-15
1388,1.414095
1389,1.414189
1390,1.4065998e-9
1391,1.4141377
1392,1.4142042
1393,1.4141611
1394,1.4141456
1395,1.4131783
1396,1.4141141
1397,1.4138104
1398,1.4142135
1399,1.4142094
1400,1.4142135
1401,1.4142084
1402,1.4142017
1403,1.4141259
1404,1.4135178
1405,1.4142135
1406,1.4142134
1407,1.4141966
1408,1.4140565
1409,1.4122874
1410,1.4141973
1411,1.4142135
1412,1.4136319
1413,1.4140954
1414,1.414142
1415,1.4142114
1416,1.4142005
1417,6.4637874e-18
1418,1.4141147
1419,1.4738222e-15
1420,1.413971
1421,1.4082628
1422,1.414206
1423,1.4121448
1424,1.4142126
1425,1.4141985
1426,1.4142025
1427,1.412786
1428,4.744999e-15
1429,1.4075457
1430,1.4141058
1431,1.413943
1432,1.4140459
1433,1.4141603
1434,1.4141885
1435,1.414203
1436,1.4142118
1437,1.4134792
1438,1.4055828
1439,1.4140861
1440,1.4141842
1441,1.4141396
1442,1.4141065
1443,1.4141397
1444,1.4142135
1445,1.4142
1446,1.4141808
1447,2.1080382e-11
1448,1.4142135
1449,1.4141967
1450,1.4142116
1451,1.4141679
1452,1.4142135
1453,1.4141722
1454,1.4134605
1455,1.4141866
1456,1.4138649
1457,1.414166
